0;0;0;0;358;0;0;0;0;0;356;0;0;0;370;0;373;0;372;371;368;1461;4709;10060;25292;36412;56233;60897;57963;42228;52103;53003;53307;53742;56749;65535;49616;45234;62181;43502;55184;53744;48819;51965;47271;52465;44425;48002;35069;33707;37333;40275;34450;32860;36172;45045;33033;36262;34084;33755;35019;30085;32226;37290;32287;32761;29465;29856;32711;31821;27955;34291;26786;32322;25637;24390;31318;25593;27983;28707;31942;22895;24826;22530;23092;24750;25356;19639;26853;20605;21777;19891;20938;19708;25807;20806;20600;18967;20933;19739;17947;21515;21690;17356;19278;20332;19253;18668
0;0;438;0;0;0;0;0;0;0;0;0;412;0;0;422;0;0;424;422;420;2503;4133;11892;22356;38308;55672;64583;61587;65494;65535;60184;60858;40334;57378;57476;52935;49192;64257;50653;50841;50499;50484;51171;51346;47289;49428;51510;48578;44959;42964;52297;36509;42183;49826;45383;39498;39593;45336;35414;37519;38566;45209;47309;38760;35102;34336;34800;35176;28648;33993;33295;34688;34008;33325;36271;26053;33145;27861;29837;28709;32796;35773;26758;27384;26818;28296;24796;29186;18722;26025;24345;29393;26706;23996;21669;22287;26147;20242;20491;24808;22036;23753;25705;20431;19338;21028;19307
0;0;0;0;0;0;0;0;375;0;0;0;0;0;396;0;0;400;0;398;396;785;3503;10040;16076;29622;38861;53334;56541;51628;65535;58254;63068;52132;56058;61965;59692;60566;49514;46175;46735;53603;48774;43429;45199;55969;39119;45785;40751;46529;41981;39109;35882;40479;31790;41295;36497;41772;42024;33046;35814;33302;34442;42654;37745;38280;35567;38405;35530;36125;28852;34100;28779;39745;32146;29229;32853;32732;26256;31504;30076;26022;32232;30980;26610;31139;25916;25769;22344;25679;24135;27372;22074;22362;20612;25504;19818;20388;21350;17030;20366;18131;17474;18882;20101;16672;18649;16528
0;0;0;0;0;382;0;0;0;0;0;0;0;388;0;0;397;0;398;0;396;1574;5850;14306;21474;31555;54329;58134;65357;64084;49898;57826;65535;54606;56946;53637;48280;46700;54530;46198;53947;46943;47389;50106;42383;48476;37589;55185;52775;50412;39763;35706;48587;47536;36175;43011;41092;30838;40527;41922;42753;39249;34410;39844;33872;33654;34556;30642;30264;30546;31587;29050;30368;30519;29130;38003;32442;33420;34419;29485;26519;25840;30062;23834;25559;21167;26790;25870;30834;22280;18386;25238;22827;25537;25795;28332;16362;20058;21389;20826;22193;20275;21825;19342;19278;18180;17171;17520
0;0;0;0;0;303;0;0;0;0;294;0;0;303;0;309;0;313;313;313;624;1553;5241;18320;25450;49850;59279;57086;64171;62470;62395;55375;55855;65535;43999;49183;56893;43286;40867;47376;62878;52503;45399;57616;52770;49725;41111;41420;37148;48552;45489;44784;36853;37519;37559;33312;38984;37800;37297;31677;30783;35934;33242;31477;35797;36038;29946;29395;31000;35678;30170;30999;38739;30812;36020;32129;32150;27819;33318;26441;22895;25883;30680;27258;22115;23795;26762;22689;20756;19021;24478;30213;24271;27362;24417;21774;21246;20435;20528;21237;26709;22148;18918;18694;18022;15943;15147;17388
0;0;0;0;409;0;0;0;0;0;382;0;0;0;397;0;403;0;406;406;405;1210;3205;12304;27953;42934;55352;57635;56184;61673;53586;56236;65535;52788;45813;60568;55640;53300;52921;44518;56878;57122;56442;41440;43782;51258;49386;48240;48671;35280;40443;43941;39056;36931;44631;40246;31107;40050;34107;35011;42499;41088;36717;29668;36758;39849;37201;36900;34521;34932;34746;35017;35965;31713;33039;33950;26692;27287;26411;28220;26652;23642;32887;29174;27858;25351;31889;21437;28874;22218;26023;27341;21670;23681;21954;21421;18816;22996;21586;24103;22748;21850;21461;18450;19028;21366;16259;14756
0;0;0;0;0;0;0;0;374;0;0;0;0;386;0;0;0;399;0;400;398;1191;1182;7418;18201;40314;62444;50645;62031;50177;58312;63906;60331;60192;43918;57273;57414;57465;43826;40231;55938;60562;53515;65535;42266;52007;46208;45884;45151;50516;42078;40570;50846;41945;39436;45876;38338;35710;38705;40725;29852;37005;39944;35010;37720;34043;33803;32702;31955;29964;34178;38797;31840;34704;27083;24950;27779;29486;35766;30758;31082;25878;27079;28314;20546;27233;24778;24205;32733;25029;26392;21271;24932;25300;27993;25842;20873;23011;21621;19886;19721;16590;20731;18145;17183;17506;15983;19063
0;0;0;0;0;399;0;0;0;0;0;379;0;0;0;394;0;400;402;403;402;1202;2392;9885;22719;50134;56627;54650;55423;53279;65535;51549;64012;51013;63397;50101;52479;55666;48624;57317;52960;55228;51010;50286;55093;38481;43880;47198;46845;50768;44104;42223;46428;37837;34226;48575;44996;37827;34849;31219;34763;33205;35204;36184;37364;33742;42341;35283;35364;30174;33741;37538;30228;35104;33658;28347;31197;29411;29632;28388;26409;29417;30619;23888;25916;23450;26354;25429;24859;19526;26871;22591;24268;28341;21399;24508;21145;19745;22685;23230;21486;19040;18965;19751;19088;16254;13449;14681
0;0;0;419;0;0;0;0;0;0;376;0;0;0;0;395;0;0;401;400;399;397;1579;4691;20168;41526;50716;48453;59874;57765;65535;61781;57075;53909;56917;52812;60635;60705;47062;53759;50489;55095;44015;55647;37146;52489;47073;42811;43270;39002;39460;36832;49419;38636;45087;47435;42098;31350;33242;36361;35158;42399;39666;34312;34262;34910;35466;33965;34818;45226;33435;28949;29131;32413;29449;31907;35442;30670;36205;28181;27388;29311;25249;25726;30509;29600;22895;20347;26485;22296;24445;26139;23771;18505;23232;23493;22479;23434;20877;24128;21651;19262;20394;22351;16844;19508;17641;14144
0;0;0;0;0;0;0;362;0;0;0;0;0;383;0;0;386;0;383;0;376;747;740;4776;14954;30840;48788;59530;60242;63666;52297;46422;54560;54317;51356;50246;41125;48256;62693;65535;49369;50798;49041;51454;40493;42444;40186;46880;45368;43254;37226;43084;32492;44118;41930;34516;32168;37830;48132;35609;36808;36419;38216;43381;41191;32002;32391;39119;29420;26931;29350;27628;32226;29744;30645;31976;28962;25302;25342;26866;23325;23144;22589;25792;30908;27416;29917;25093;27894;25230;25581;24700;21485;24701;25592;22352;21403;21227;20378;19647;22627;20650;21794;22392;22429;21836;24058;21536
0;0;410;0;0;0;0;0;0;0;398;0;0;0;412;0;0;414;0;410;406;1209;1999;6739;24384;41808;56401;65535;58891;57785;64999;53972;52412;58054;61364;54141;57021;52508;56477;59155;64627;51753;46213;52968;46533;53882;40183;46582;51741;43476;49849;45676;39613;48617;47729;34743;45557;37358;41224;39063;40905;48234;44991;44850;44599;36420;27758;32661;37411;33155;33690;37860;36365;27743;26732;32068;28054;28745;31849;31925;29683;28667;32479;27557;26202;31719;30381;28924;25762;25827;26679;24938;23158;25451;21130;22133;23504;25269;21164;21481;20342;18883;29531;18367;23583;22386;22205;23199
0;0;0;0;0;0;0;399;0;0;0;0;416;0;0;425;0;0;425;423;420;1249;2478;9009;22336;50388;61346;59903;60992;53804;65535;53757;56520;51706;64508;55895;47567;55937;48228;52261;51108;51139;42101;45305;58550;48939;45667;49768;42839;42059;45392;48731;44839;44983;45998;36119;38524;41848;44962;49118;42178;38990;41897;39679;38168;36150;39190;44312;40692;31667;30606;32024;27236;29068;29629;32254;24493;30804;31550;34395;30882;28583;34080;30675;28897;27476;24389;25843;23879;29532;27017;25270;25591;26291;24784;23712;20178;24066;24270;23726;25323;23381;22393;22810;25130;26500;22215;21593
